[6,400] MAE: 33,653,339,560.081921, RMSE: 326,560,185,500.385376, R2: -628,055,865,980,255,599,307,419,287,552. – 0:00:02.926978 – 25.74 KB
[6,500] MAE: 33,250,388,158.106632, RMSE: 324,041,039,743.890747, R2: -619,459,192,443,690,037,424,666,181,632. – 0:00:02.972218 – 25.74 KB
[6,600] MAE: 32,836,420,343.212414, RMSE: 321,578,276,325.760437, R2: -607,624,028,380,281,114,391,222,419,456. – 0:00:03.017381 – 25.74 KB
[6,700] MAE: 34,569,344,276.099373, RMSE: 353,191,112,466.475769, R2: -726,412,681,393,854,636,840,934,440,960. – 0:00:03.062543 – 25.74 KB
[6,800] MAE: 34,322,710,471.720776, RMSE: 350,597,598,144.455505, R2: -707,457,458,874,063,857,698,736,177,152. – 0:00:03.107768 – 25.74 KB
[6,900] MAE: 33,942,458,849.470177, RMSE: 348,050,186,789.944336, R2: -700,990,436,474,464,043,238,552,502,272. – 0:00:03.152881 – 25.74 KB
[7,000] MAE: 33,510,815,087.007126, RMSE: 345,555,681,471.86261, R2: -695,930,533,534,847,516,394,311,909,376. – 0:00:03.197729 – 25.74 KB
[7,100] MAE: 33,102,062,246.450512, RMSE: 343,114,509,727.34436, R2: -687,603,572,663,716,274,029,119,668,224. – 0:00:03.242477 – 25.74 KB
[7,200] MAE: 32,676,292,338.933334, RMSE: 340,723,654,766.928711, R2: -674,733,813,144,873,127,462,276,431,872. – 0:00:03.287410 – 25.74 KB
[7,300] MAE: 32,247,939,908.755489, RMSE: 338,381,947,508.474609, R2: -656,055,956,179,105,885,540,302,454,784. – 0:00:03.332233 – 25.74 KB
[7,400] MAE: 31,839,049,051.696445, RMSE: 336,087,969,748.471497, R2: -636,237,418,765,676,099,324,335,882,240. – 0:00:03.377219 – 25.74 KB
[7,500] MAE: 40,283,460,141.504967, RMSE: 590,274,941,277.171875, R2: -1,910,298,828,552,744,410,718,192,795,648. – 0:00:03.422027 – 25.74 KB
[7,600] MAE: 40,404,395,198.134285, RMSE: 586,426,142,582.137451, R2: -1,879,774,728,386,130,469,067,226,611,712. – 0:00:03.467046 – 25.74 KB
[7,700] MAE: 40,162,043,681.445107, RMSE: 582,618,375,352.557495, R2: -1,863,393,809,589,278,003,074,772,762,624. – 0:00:03.511828 – 25.74 KB
[7,800] MAE: 39,752,222,173.902847, RMSE: 578,873,106,358.464844, R2: -1,851,996,581,755,593,143,845,017,092,096. – 0:00:03.556699 – 25.74 KB
[7,900] MAE: 39,297,398,732.759987, RMSE: 575,198,011,063.663086, R2: -1,841,974,162,398,666,276,970,610,819,072. – 0:00:03.601321 – 25.74 KB
