,n_samples,MAE,RMSE,R2,time_learning,time_predicting,memory,n_nodes,n_branches,n_leaves,n_active_leaves,n_inactive_leaves,height,total_observed_weight
10391,10391999,21.50774147105472,37.69930504068911,0.0754387624057572,1353.0508201122284,793.5115256309509,98.62262725830078,10405,5202,5203,1054,4149,26,10392000.0
10392,10392999,21.50707708898175,37.6988189336328,0.07543999163375692,1353.120213508606,793.586893081665,98.62532806396484,10405,5202,5203,1054,4149,26,10393000.0
10393,10393999,21.50651029044184,37.69818613383182,0.0754392873336468,1353.1919994354248,793.6629447937012,98.63679504394531,10405,5202,5203,1054,4149,26,10394000.0
10394,10394999,21.50596078495977,37.69736956151907,0.07543979923671573,1353.2703070640564,793.741662979126,98.64643096923828,10405,5202,5203,1054,4149,26,10395000.0
10395,10395999,21.505377794051526,37.696454983519445,0.07544155858777457,1353.342081785202,793.818318605423,98.65322875976562,10405,5202,5203,1054,4149,26,10396000.0
10396,10396999,21.504802794144457,37.69539356419361,0.07544226973841839,1353.4449121952057,793.8945851325989,98.51363372802734,10407,5203,5204,1054,4150,26,10397000.0
10397,10397999,21.504376541195846,37.69485287790286,0.07544121028492745,1353.5166401863098,793.9710118770599,98.52786254882812,10407,5203,5204,1054,4150,26,10398000.0
10398,10398999,21.503997718502454,37.69385110881451,0.07543940887770317,1353.602499961853,794.0579013824463,98.53910064697266,10407,5203,5204,1054,4150,26,10399000.0
10399,10399999,21.503756049832536,37.6931729455635,0.07543573932804792,1353.673802614212,794.13294672966,98.55146026611328,10407,5203,5204,1054,4150,26,10400000.0
10400,10400999,21.503443131933764,37.69221913297899,0.07543273326913158,1353.7699601650238,794.2073969841003,98.367919921875,10409,5204,5205,1054,4151,26,10401000.0
10401,10401999,21.50317585338852,37.69139737300128,0.07543136327380706,1353.8485832214355,794.2837662696838,98.39347839355469,10409,5204,5205,1054,4151,26,10402000.0
10402,10402999,21.503015011337997,37.69078447073155,0.0754296857568445,1353.9454355239868,794.3584308624268,98.2950439453125,10411,5205,5206,1054,4152,26,10403000.0
10403,10403999,21.50299668578255,37.69021552057321,0.07542681121284334,1354.019160747528,794.4341478347778,98.32275390625,10411,5205,5206,1054,4152,26,10404000.0
10404,10404999,21.503279988351725,37.69043772198851,0.07542340994717722,1354.0953602790833,794.5098888874054,98.36299133300781,10411,5205,5206,1054,4152,26,10405000.0
10405,10405999,21.503808036210458,37.690861617346606,0.07542672348465729,1354.1673164367676,794.584685087204,98.39335632324219,10411,5205,5206,1054,4152,26,10406000.0
10406,10406999,21.504500868568183,37.69244850215182,0.07543255263274229,1354.2465941905975,794.6595845222473,98.42157745361328,10411,5205,5206,1054,4152,26,10407000.0
10407,10407999,21.504927047915924,37.69246892815097,0.07543971977173125,1354.324763059616,794.7345747947693,98.44252014160156,10411,5205,5206,1054,4152,26,10408000.0
10408,10408999,21.505605021226234,37.69309186115978,0.07545013737866824,1354.405196905136,794.8090093135834,98.46520233154297,10411,5205,5206,1054,4152,26,10409000.0
10409,10409999,21.506089205501286,37.69324380037217,0.07546117380840411,1354.4828307628632,794.8827526569366,98.48957824707031,10411,5205,5206,1054,4152,26,10410000.0
10410,10410999,21.506636350260464,37.69399173473243,0.07546889935281986,1354.5973846912384,794.9556741714478,98.37174987792969,10413,5206,5207,1054,4153,26,10411000.0
10411,10411999,21.505929388159892,37.693960162243066,0.07546836976287252,1354.6676967144012,795.0295498371124,98.37998962402344,10413,5206,5207,1054,4153,26,10412000.0
10412,10412999,21.505233205423522,37.69321270475475,0.07546988281063172,1354.7365446090698,795.1037676334381,98.39088439941406,10413,5206,5207,1054,4153,26,10413000.0
10413,10413999,21.50444219523646,37.69203774996817,0.07547351254682333,1354.808066368103,795.1786608695984,98.40402221679688,10413,5206,5207,1054,4153,26,10414000.0
10414,10414999,21.5037681615862,37.69093152720332,0.07547609156960866,1354.8795924186707,795.2542014122009,98.4181900024414,10413,5206,5207,1054,4153,26,10415000.0
10415,10415999,21.50320328043511,37.69025088765297,0.07547443741584103,1354.9502103328705,795.3297061920166,98.42695617675781,10413,5206,5207,1054,4153,26,10416000.0
10416,10416999,21.50260875593121,37.68907325998907,0.0754743753039876,1355.0200321674347,795.4039041996002,98.44524383544922,10413,5206,5207,1054,4153,26,10417000.0
10417,10417999,21.502042192395127,37.688054069661355,0.07547388841889002,1355.090311050415,795.4789092540741,98.45295715332031,10413,5206,5207,1054,4153,26,10418000.0
10418,10418999,21.50160572783908,37.68727786114326,0.07547327144318394,1355.1601345539093,795.5532522201538,98.46149444580078,10413,5206,5207,1054,4153,26,10419000.0
10419,10419999,21.5012423183735,37.68668200716768,0.07546977861481174,1355.2345988750458,795.6281490325928,98.47687530517578,10413,5206,5207,1054,4153,26,10420000.0
10420,10420999,21.50096754815043,37.685880783032005,0.07546615995825401,1355.3044965267181,795.7033519744873,98.4826889038086,10413,5206,5207,1054,4153,26,10421000.0
10421,10421999,21.50074909297701,37.68529766509816,0.07546382731318546,1355.3785772323608,795.7792897224426,98.50070190429688,10413,5206,5207,1054,4153,26,10422000.0
