,n_samples,MAE,RMSE,R2,time_learning,time_predicting,memory,n_nodes,n_branches,n_leaves,n_active_leaves,n_inactive_leaves,height,total_observed_weight
12201,12201999,22.37801747414965,38.717569585615905,0.029620642483203286,999.5213344097137,764.021258354187,102.58396530151367,27595,2344,25251,1257,23994,9,12202000.0
12202,12202999,22.37797867793884,38.71682776175578,0.029612567837834503,999.5749232769012,764.0783786773682,102.59734344482422,27595,2344,25251,1257,23994,9,12203000.0
12203,12203999,22.37754681616242,38.715921597443405,0.029611659095677756,999.6312687397003,764.1351928710938,102.61803817749023,27595,2344,25251,1257,23994,9,12204000.0
12204,12204999,22.37680273241286,38.71522062853204,0.029614697109528576,999.68505859375,764.192421913147,102.62307357788086,27595,2344,25251,1257,23994,9,12205000.0
12205,12205999,22.376054230340486,38.71415728779716,0.029619071471232217,999.7519516944885,764.2644212245941,102.62564849853516,27595,2344,25251,1257,23994,9,12206000.0
12206,12206999,22.375466385301266,38.71322073091305,0.029621688021497006,999.806421995163,764.3231110572815,102.65117645263672,27596,2344,25252,1258,23994,9,12207000.0
12207,12207999,22.374828307152182,38.712199502818436,0.029622771039572893,999.9103846549988,764.3811905384064,102.51203918457031,27598,2345,25253,1256,23997,9,12208000.0
12208,12208999,22.374293225149675,38.71131569815734,0.029623013908039342,999.9634585380554,764.4389955997467,102.51842880249023,27598,2345,25253,1256,23997,9,12209000.0
12209,12209999,22.373976034448432,38.71065414426175,0.029622927876488125,1000.0177948474884,764.4962635040283,102.53182983398438,27598,2345,25253,1256,23997,9,12210000.0
12210,12210999,22.373597228463773,38.71001130156922,0.029622286964216427,1000.0709335803986,764.5545053482056,102.53267288208008,27598,2345,25253,1256,23997,9,12211000.0
12211,12211999,22.373547135031096,38.70977152529368,0.02962164395150635,1000.1235880851746,764.6125574111938,102.5360221862793,27598,2345,25253,1256,23997,9,12212000.0
12212,12212999,22.373730670310206,38.709774429310244,0.029622340406442182,1000.1776149272919,764.670606136322,102.54351806640625,27598,2345,25253,1256,23997,9,12213000.0
12213,12213999,22.37394637794222,38.70989377341972,0.029623291877514668,1000.2335765361786,764.7311065196991,102.54853057861328,27598,2345,25253,1256,23997,9,12214000.0
12214,12214999,22.374261611830356,38.71023189972532,0.029624839882332554,1000.2873160839081,764.789324760437,102.55622863769531,27598,2345,25253,1256,23997,9,12215000.0
12215,12215999,22.374528326168004,38.710266068040966,0.029629354758339166,1000.340912103653,764.8476493358612,102.55955505371094,27598,2345,25253,1256,23997,9,12216000.0
12216,12216999,22.375107038504883,38.71086497764597,0.02963361855887059,1000.3944230079651,764.9056613445282,102.56370162963867,27598,2345,25253,1256,23997,9,12217000.0
12217,12217999,22.375679119528694,38.711339963666,0.029643275338315678,1000.5027821063995,764.964079618454,102.44856643676758,27610,2346,25264,1256,24008,9,12218000.0
12218,12218999,22.376354612307427,38.7119500180162,0.02965158628637532,1000.556010723114,765.0222125053406,102.45549011230469,27610,2346,25264,1256,24008,9,12219000.0
12219,12219999,22.37698877080599,38.71280448782653,0.029653878262169364,1000.6578185558319,765.0805108547211,102.36871719360352,27622,2347,25275,1255,24020,9,12220000.0
12220,12220999,22.37729537357347,38.71278684427142,0.029656880302033173,1000.7131204605103,765.1398303508759,102.3698959350586,27622,2347,25275,1255,24020,9,12221000.0
12221,12221999,22.376993868084448,38.71208832320265,0.029658334282130827,1000.7733705043793,765.1982364654541,102.38309097290039,27622,2347,25275,1255,24020,9,12222000.0
12222,12222999,22.376290225145862,38.71097503515047,0.02966425225496072,1000.829309463501,765.2577691078186,102.38653182983398,27622,2347,25275,1255,24020,9,12223000.0
12223,12223999,22.37585715173645,38.710172323752936,0.02966683838892825,1000.8837959766388,765.3162724971771,102.39663696289062,27622,2347,25275,1255,24020,9,12224000.0
12224,12224999,22.37555740626665,38.709830397894684,0.029667650195874806,1000.9396078586578,765.3747067451477,102.42028045654297,27622,2347,25275,1255,24020,9,12225000.0
12225,12225999,22.375448682896263,38.70953049009689,0.029667509076684917,1000.9963676929474,765.4351263046265,102.43241119384766,27622,2347,25275,1255,24020,9,12226000.0
12226,12226999,22.375409577908002,38.709618389923534,0.029665615647448518,1001.0542485713959,765.493566274643,102.43988037109375,27622,2347,25275,1255,24020,9,12227000.0
12227,12227999,22.375404635365236,38.70956780512434,0.029665095407348185,1001.1116733551025,765.5519745349884,102.44580459594727,27622,2347,25275,1255,24020,9,12228000.0
12228,12228999,22.375410345910623,38.70921105636518,0.029664728787663464,1001.1667885780334,765.6097829341888,102.45346069335938,27622,2347,25275,1255,24020,9,12229000.0
12229,12229999,22.375356121471807,38.70871536062445,0.02966406253936149,1001.2204761505127,765.6674945354462,102.45355224609375,27622,2347,25275,1255,24020,9,12230000.0
12230,12230999,22.375447118131916,38.70834169266727,0.029660638011601237,1001.2748348712921,765.725834608078,102.45535278320312,27622,2347,25275,1255,24020,9,12231000.0
12231,12231999,22.375625096470777,38.70792813061223,0.029657315650057914,1001.3289706707001,765.7837677001953,102.45703887939453,27622,2347,25275,1255,24020,9,12232000.0
12232,12232999,22.375943392358025,38.707617868665324,0.02964984929035075,1001.4341683387756,765.8422992229462,102.36176681518555,27634,2348,25286,1255,24031,9,12233000.0
12233,12233999,22.37620758380303,38.708144662621685,0.029640524473978358,1001.4881165027618,765.9018979072571,102.38214111328125,27635,2348,25287,1256,24031,9,12234000.0
12234,12234999,22.37607700523563,38.70807584812582,0.02963553481352721,1001.5482766628265,765.9602036476135,102.42830276489258,27635,2348,25287,1256,24031,9,12235000.0
12235,12235999,22.37541750478977,38.707067311403264,0.029642492234559614,1001.6032812595367,766.0185749530792,102.457275390625,27635,2348,25287,1256,24031,9,12236000.0
12236,12236999,22.374998137953288,38.70652309665646,0.029646513526526586,1001.6570620536804,766.0767345428467,102.47241592407227,27635,2348,25287,1256,24031,9,12237000.0
12237,12237999,22.37449744127971,38.70567666217007,0.029650346072191525,1001.7144515514374,766.137927532196,102.50147247314453,27635,2348,25287,1256,24031,9,12238000.0
12238,12238999,22.374129772141956,38.70494510253395,0.029653759381010003,1001.7685577869415,766.1959886550903,102.51253128051758,27635,2348,25287,1256,24031,9,12239000.0
12239,12239999,22.373803741225895,38.704307610932084,0.02965454804827261,1001.8234260082245,766.2544865608215,102.55322265625,27636,2348,25288,1257,24031,9,12240000.0
12240,12240999,22.37368717707815,38.70395432077652,0.029655444404704245,1001.8769886493683,766.3126230239868,102.56253051757812,27636,2348,25288,1257,24031,9,12241000.0
12241,12241999,22.37357401420419,38.703550235925746,0.02965648901655371,1001.9309134483337,766.3708333969116,102.57178115844727,27636,2348,25288,1257,24031,9,12242000.0
12242,12242999,22.373686853946957,38.7039569726248,0.029656450366735254,1001.9856863021851,766.4290745258331,102.58287048339844,27636,2348,25288,1257,24031,9,12243000.0
12243,12243999,22.37399239492364,38.70419429845348,0.029656850009835756,1002.0405895709991,766.4875285625458,102.59975051879883,27636,2348,25288,1257,24031,9,12244000.0
12244,12244999,22.374683979680977,38.70649690497286,0.029657880856527652,1002.0960664749146,766.5464310646057,102.61407470703125,27636,2348,25288,1257,24031,9,12245000.0
12245,12245999,22.37524017148709,38.707253495916106,0.02965834560846381,1002.1494588851929,766.6043820381165,102.61913299560547,27636,2348,25288,1257,24031,9,12246000.0
12246,12246999,22.375968993065776,38.708965106228256,0.02966263431965277,1002.2079455852509,766.6630265712738,102.63217544555664,27636,2348,25288,1257,24031,9,12247000.0
12247,12247999,22.376597696177587,38.71060649625568,0.02966474815298714,1002.2612063884735,766.7212491035461,102.63557052612305,27636,2348,25288,1257,24031,9,12248000.0
12248,12248999,22.377190072803103,38.710902404816984,0.029672562231698785,1002.3626277446747,766.7796266078949,102.48008728027344,27648,2349,25299,1254,24045,9,12249000.0
12249,12249999,22.37741250578818,38.71063775778427,0.029674589813853958,1002.4174613952637,766.8388338088989,102.48521423339844,27648,2349,25299,1254,24045,9,12250000.0
12250,12250999,22.37771986690012,38.71193855253717,0.029667608346554464,1002.4757845401764,766.8986616134644,102.50130081176758,27648,2349,25299,1254,24045,9,12251000.0
12251,12251999,22.37749566613937,38.7131186946985,0.029664974474260086,1002.5308520793915,766.9574062824249,102.51224136352539,27648,2349,25299,1254,24045,9,12252000.0
12252,12252999,22.376953628163115,38.712581394863435,0.029665708233797217,1002.5857326984406,767.0162110328674,102.51399612426758,27648,2349,25299,1254,24045,9,12253000.0
12253,12253999,22.376469314710775,38.711966042804356,0.029666239011945872,1002.6405589580536,767.0748972892761,102.52272033691406,27648,2349,25299,1254,24045,9,12254000.0
12254,12254999,22.376195266210924,38.71189989998904,0.029665572319998224,1002.6966590881348,767.1343305110931,102.53971481323242,27648,2349,25299,1254,24045,9,12255000.0
12255,12255999,22.37605105910023,38.71170128810941,0.029663932754366074,1002.8010764122009,767.1928374767303,102.43259811401367,27660,2350,25310,1254,24056,9,12256000.0
